season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,comm_cricinfo,comm_cricbuzz
2017,1082647,MI v RPS,MI,RPS,RPS,1,1,1,0,"McClenaghan to Rahane, no run",False,False,False,277916,Ajinkya Rahane,0,1,319439,Mitchell McClenaghan,0.1,0,0,0,,,,,,,False,"good length ball on middle, Rahane defends and then opens the face to see if he can get any runs at point. Nope.",
2017,1082647,MI v RPS,MI,RPS,RPS,1,1,2,2,"McClenaghan to Rahane, 2 runs",False,False,False,277916,Ajinkya Rahane,2,2,319439,Mitchell McClenaghan,0.2,0,2,0,,,,,,,False,"ooh, inside edge gets Rahane and Pune off the mark. He prepares to a cover drive, but pulls it off the stove too early. The bat turns in his hand and the good length ball angled across him ends up 180 degrees off target",
2017,1082647,MI v RPS,MI,RPS,RPS,1,1,3,1,"McClenaghan to Rahane, 1 run",False,False,False,277916,Ajinkya Rahane,3,3,319439,Mitchell McClenaghan,0.3,0,3,0,,,,,,,False,"nudges to long leg, a more measured stroke, to a ball on the pads",
2017,1082647,MI v RPS,MI,RPS,RPS,1,1,4,1,"McClenaghan to Tripathi, 1 leg bye",False,False,False,446763,Rahul Tripathi,0,1,319439,Mitchell McClenaghan,0.4,0,3,0,,,,,,,False,"feels offput by McClenaghan's pace as Tripathi, stuck on the crease, gets struck on the thighs by a back of a length ball. Promptly puts Rahane in the firing line",
2017,1082647,MI v RPS,MI,RPS,RPS,1,1,5,1,"McClenaghan to Rahane, 1 wide",False,True,False,277916,Ajinkya Rahane,3,3,319439,Mitchell McClenaghan,0.4,0,4,0,,,,,,,False,"full, with a hint of inswing, and that sends the ball down the leg side. Rahane's flick can't reach that far",
2017,1082647,MI v RPS,MI,RPS,RPS,1,1,5,1,"McClenaghan to Rahane, 1 run",False,False,False,277916,Ajinkya Rahane,4,4,319439,Mitchell McClenaghan,0.5,0,5,0,,,,,,,False,"gorgeous strike down the ground, but his India team-mate at the top of the order, and Mumbai captain today, puts in a fine effort to keep that only to a single.",
2017,1082647,MI v RPS,MI,RPS,RPS,1,1,6,0,"McClenaghan to Tripathi, OUT",False,False,False,446763,Rahul Tripathi,0,2,319439,Mitchell McClenaghan,1.0,0,5,1,446763.0,Rahul Tripathi,Mitchell McClenaghan,0.0,2.0,RA Tripathi  b McClenaghan 0 (6m 2b 0x4 0x6) SR: 0.00,False,"off for a duck, for the first time in the season! Tripathi digs his bat into the turf as he walks away, after it fails him against a scary old inswinger. McClenaghan is rapid. And he's pitched this right up, at a place where the hairs on back of a batsman's neck flare up in fear. Tripathi, in panic mode, flicks all around the delivery, and looks back to see his stumps in disarray",
2017,1082647,MI v RPS,MI,RPS,RPS,1,2,1,0,"Malinga to Rahane, no run",False,False,False,277916,Ajinkya Rahane,4,5,49758,Lasith Malinga,0.1,0,0,0,,,,,,,False,"back of a length on off stump, blocks to cover",
2017,1082647,MI v RPS,MI,RPS,RPS,1,2,2,1,"Malinga to Rahane, 1 run",False,False,False,277916,Ajinkya Rahane,5,6,49758,Lasith Malinga,0.2,0,1,0,,,,,,,False,a lovely little whip sends a shortish delivery outside off away through midwicket. Lovely balance and strong wrists.,
2017,1082647,MI v RPS,MI,RPS,RPS,1,2,3,1,"Malinga to Smith, 1 run",False,False,False,267192,Steven Smith,1,1,49758,Lasith Malinga,0.3,0,2,0,,,,,,,False,"loads up a back foot cover drive, and for some reason, it seems like he is into the shot a tad too early. Has to adjust in his followthrough to get a single",
